corpus,document_id,window_length,omnibus_p,mass_2_4,log_ratio_2_4,mass_4_8,log_ratio_4_8,mass_8_16,log_ratio_8_16,mass_16_32,log_ratio_16_32,mass_32_64,log_ratio_32_64,mass_64_128,log_ratio_64_128,mass_128_256,log_ratio_128_256,mass_256_512,log_ratio_256_512
brown,ca01,1024,0.746268656716418,0.5091454062216199,0.018252720844967874,0.2360993966676134,-0.056654919572684426,0.12194924423089999,-0.022569943280510874,0.06331732987864072,0.046609861739931535,0.03265258878103423,0.059363722213564785,0.02253638476023425,0.452627962544879,0.0033287017702446475,-0.7267568184779076,0.003895762820797897,0.39905358293584925
brown,ca02,1024,0.572139303482587,0.47650768550228784,-0.051049559926398924,0.246906878326324,-0.005532417604469542,0.12189938047499418,-0.006024380758713033,0.07105204552276213,0.12931380476112286,0.029179319392966363,-0.04229694978395493,0.017221355262302767,0.18715892283018132,0.015008334536988938,0.7298944758299903,0.008624259654995286,1.0308817216718609
brown,ca03,1024,0.32338308457711445,0.508045944487779,0.019323635188703947,0.2137947017695337,-0.15120650627505627,0.12208625351912927,-0.02571619449640261,0.07688396273291756,0.22018114715478543,0.026356407034192397,-0.13295805154207851,0.016083446926505283,0.0754969808132433,0.008826599525188215,0.21313439579648108,0.014687926323044151,1.534778859927827
brown,ca04,1024,0.32338308457711445,0.47724228513963235,-0.04587106169527522,0.2742908760053582,0.10024024797194797,0.1100748211896262,-0.14229780533873715,0.07657172521419855,0.21712279980833404,0.021292596176974703,-0.33063343875972206,0.01755077301613533,0.20178311258780912,0.013036240039039386,0.7197867113393004,0.0025317492783886284,-0.20152725113720837
brown,ca05,1024,0.009950248756218905,0.5168889973066308,0.03699738761767268,0.1969976491478777,-0.23630619746575032,0.09475850127416688,-0.277012525026898,0.11067070822591002,0.5767059439806412,0.034055349804090675,0.12852751393890172,0.0264032873882813,0.5781040326368005,0.006824617045448242,0.02492073517244897,0.0067096358925929946,0.7101910616522042
brown,ca06,1024,0.24378109452736318,0.5248351511851232,0.047856597652098265,0.2045951029313321,-0.1961201242328301,0.1241924612663443,0.004892434496546638,0.07436378674814378,0.18174391481794805,0.03142681467123831,0.05380257744018957,0.013146939299715988,-0.07704240410293295,0.01246747066045828,0.5701777260953138,0.0087437996006577,1.1132842189006613
brown,ca07,1024,0.46766169154228854,0.4621997009911943,-0.07291292817973116,0.2628679428513722,0.05208495694252324,0.11568692340132428,-0.09101996520307853,0.06332898144396484,0.018657531212533218,0.04477742841066358,0.4227000604257225,0.017002235235842086,0.1731247237753868,0.007941033547443788,0.10119788973958155,0.00800793283172642,1.0447061788069645
brown,ca08,1024,0.2835820895522388,0.47437498266772105,-0.05238022419620214,0.24886895681708587,-0.003626207477637644,0.11147393004815412,-0.09684071343227751,0.06907697453213348,0.09201977758423707,0.049475811192486556,0.49954347383139064,0.018689385365395227,0.2269639008078057,0.015512622438634969,0.8267850339700971,0.0021938148950822007,-0.21610819439029338
brown,ca09,1024,0.12935323383084577,0.49048814972953747,-0.01712307964952353,0.23509337900061025,-0.06885066081961266,0.1532193418920661,0.2225407441337901,0.0428997235407577,-0.3543812773827111,0.02903900364516924,-0.01630786278138352,0.02757295399688644,0.6337276232386841,0.012525066595741036,0.5421822574945594,0.004860050625226068,0.4821365494062393
brown,ca10,1024,0.16417910447761194,0.4962461871231715,-0.007336405897616749,0.21748397932075914,-0.13915092409688867,0.11961571003511351,-0.03650441963849005,0.07788814447408925,0.23612048817691278,0.037180886390132284,0.21970533403137527,0.027434297750447336,0.6159432674176801,0.007657434367726982,0.15652723268618374,0.01142405058974557,1.3438177653393373
brown,ca11,1024,0.2537313432835821,0.5376496412122451,0.0688131227461215,0.22018385820605313,-0.11966978603172929,0.12170877622208952,-0.026399774281072652,0.06742223155325314,0.11161367435810332,0.020088445982930723,-0.41207451654683647,0.019783618612061002,0.2958917794405487,0.00509470554721097,-0.30205070095778996,0.00412454983171992,0.31895495302601873
brown,ca12,1024,0.5074626865671642,0.48091316880123125,-0.03754014417850904,0.22885522175740813,-0.0844317108083863,0.14568220547548796,0.15956619626090718,0.06500831235393956,0.04870528996335244,0.026045967931844223,-0.13923580886603126,0.01795547770156114,0.1979176157345126,0.007797679150529282,0.14585300250777777,0.012219504399808546,1.3187302194810648
brown,ca13,1024,0.04975124378109453,0.4430086811016649,-0.12116227545663083,0.22733289197091347,-0.09154587690792226,0.1563378114284899,0.2430281753027903,0.06265009792560383,0.006689868912039376,0.03813665251503896,0.2258331821179751,0.024871636831848808,0.5238202310801161,0.015710236135490517,0.88251160801265,0.00329722199643689,0.054916557784725484
brown,ca14,1024,0.009950248756218905,0.4214995234271388,-0.1718701473724885,0.2907538506687916,0.16309847742447214,0.12959788858728516,0.039521632975001886,0.04515559882008997,-0.30946600095693144,0.0391049031916801,0.25177262751316754,0.043262773386128425,1.0908423580122246,0.008626561875460636,0.21983538601362973,0.01514307243540429,1.6476083613533836
brown,ca15,1024,0.10945273631840796,0.47085368097152214,-0.061831134475020644,0.2581542756310783,0.04049495334961262,0.1135916266464573,-0.09279205245769528,0.06219511701903186,0.00950970911225113,0.06033140652389553,0.6921450119256622,0.013413506672005925,-0.06713452330825653,0.005418138953785506,-0.20209814315821628,0.00900160858170286,1.0319488336005573
